course_ref,credits,final_grade,grade_status,source_id,student_ref,term_code
c-157a8e2861ab,3.0,6.92,[C+ - ],v59-empty-program-students,s-00c4a43cf58d,2022-2023-T1
c-39cd13493220,2.0,7.56,[B - ],v59-empty-program-students,s-00c4a43cf58d,2022-2023-T1
c-c75738beabaf,3.0,5.58,[C - ],v59-empty-program-students,s-00c4a43cf58d,2022-2023-T1
c-d9042ad81810,3.0,8.01,[B+ - ],v59-empty-program-students,s-00c4a43cf58d,2022-2023-T1
c-172451d87747,3.0,8.14,[B+ - ],v59-empty-program-students,s-00c4a43cf58d,2022-2023-T2
c-3f9b457f76e2,3.0,8.45,[B+ - ],v59-empty-program-students,s-00c4a43cf58d,2022-2023-T2
c-4aa34fbdd105,2.0,7.21,[B - ],v59-empty-program-students,s-00c4a43cf58d,2022-2023-T2
c-53d6cca2994c,2.0,8.55,[A - ],v59-empty-program-students,s-00c4a43cf58d,2022-2023-T2
c-1edc6979e243,3.0,2.31,Không đạt,v59-empty-program-students,s-019524f8f480,2022-2023-T1
c-6695c87b65d2,2.0,3.93,Không đạt,v59-empty-program-students,s-019524f8f480,2022-2023-T1
c-6ce8d6cdf38d,3.0,2.0,Không đạt,v59-empty-program-students,s-019524f8f480,2022-2023-T1
c-84b7633f7132,3.0,2.34,Không đạt,v59-empty-program-students,s-019524f8f480,2022-2023-T1
c-2443aba32dcd,3.0,2.8,Không đạt,v59-empty-program-students,s-019524f8f480,2022-2023-T2
c-c6b4dc135b20,2.0,2.91,Không đạt,v59-empty-program-students,s-019524f8f480,2022-2023-T2
c-dbbf23bfc33f,3.0,2.12,Không đạt,v59-empty-program-students,s-019524f8f480,2022-2023-T2
c-de86b383cbb8,3.0,2.21,Không đạt,v59-empty-program-students,s-019524f8f480,2022-2023-T2
c-6e8ba11f602b,3.0,7.47,[B - ],v59-empty-program-students,s-0198c1be33d6,2022-2023-T1
c-a9d6b296c76c,3.0,4.67,Không đạt,v59-empty-program-students,s-0198c1be33d6,2022-2023-T1
c-af3e91937bc5,3.0,7.43,[B - ],v59-empty-program-students,s-0198c1be33d6,2022-2023-T1
c-fce883e7bb43,3.0,7.73,[B - ],v59-empty-program-students,s-0198c1be33d6,2022-2023-T1
c-2b79035c6681,3.0,6.41,[C - ],v59-empty-program-students,s-0198c1be33d6,2022-2023-T2
c-6e0b27e183d8,3.0,6.59,[C+ - ],v59-empty-program-students,s-0198c1be33d6,2022-2023-T2
c-c220c7b51a17,2.0,5.49,[D+ - ],v59-empty-program-students,s-0198c1be33d6,2022-2023-T2
c-c6af1e39b2a2,3.0,6.58,[C+ - ],v59-empty-program-students,s-0198c1be33d6,2022-2023-T2
c-10e82de131fb,3.0,7.33,[B - ],v59-empty-program-students,s-02592401a1df,2022-2023-T1
c-91a6bdecc8da,2.0,7.71,[B - ],v59-empty-program-students,s-02592401a1df,2022-2023-T1
c-98409d206d7f,3.0,8.24,[B+ - ],v59-empty-program-students,s-02592401a1df,2022-2023-T1
c-d606d8122709,3.0,8.87,[A - ],v59-empty-program-students,s-02592401a1df,2022-2023-T1
c-4d6d705456de,2.0,9.29,[A - ],v59-empty-program-students,s-02592401a1df,2022-2023-T2
c-771cf9f08308,3.0,8.79,[A - ],v59-empty-program-students,s-02592401a1df,2022-2023-T2
c-7e0a8807023e,3.0,7.5,[B - ],v59-empty-program-students,s-02592401a1df,2022-2023-T2
c-e9f986a61553,2.0,8.2,[B+ - ],v59-empty-program-students,s-02592401a1df,2022-2023-T2
c-35e1240ad4ff,3.0,8.08,[B+ - ],v59-empty-program-students,s-025953cdfa78,2022-2023-T1
c-5077845a8d8e,3.0,9.4,[A - ],v59-empty-program-students,s-025953cdfa78,2022-2023-T1
c-94a5c9a9e917,3.0,9.4,[A - ],v59-empty-program-students,s-025953cdfa78,2022-2023-T1
c-f2197d800b2e,3.0,7.62,[B - ],v59-empty-program-students,s-025953cdfa78,2022-2023-T1
c-277ea10429f8,3.0,8.15,[B+ - ],v59-empty-program-students,s-025953cdfa78,2022-2023-T2
c-9897554217e1,3.0,8.75,[A - ],v59-empty-program-students,s-025953cdfa78,2022-2023-T2
c-f3200a6980b8,3.0,7.68,[B - ],v59-empty-program-students,s-025953cdfa78,2022-2023-T2
c-f877e9a871d3,2.0,9.4,[A - ],v59-empty-program-students,s-025953cdfa78,2022-2023-T2
c-0daaca2a15ef,3.0,6.27,[C - ],v59-empty-program-students,s-0309240c3098,2022-2023-T1
c-be73f8e4e3e3,3.0,6.24,[C - ],v59-empty-program-students,s-0309240c3098,2022-2023-T1
c-ce331022219d,3.0,6.53,[C+ - ],v59-empty-program-students,s-0309240c3098,2022-2023-T1
c-d01b3556dafd,3.0,4.42,Không đạt,v59-empty-program-students,s-0309240c3098,2022-2023-T1
c-49deae02b2a1,3.0,7.04,[B - ],v59-empty-program-students,s-0309240c3098,2022-2023-T2
c-ac134d3fb703,3.0,6.55,[C+ - ],v59-empty-program-students,s-0309240c3098,2022-2023-T2
c-cffdeb236796,2.0,4.88,Không đạt,v59-empty-program-students,s-0309240c3098,2022-2023-T2
c-f9e006f95401,3.0,6.15,[C - ],v59-empty-program-students,s-0309240c3098,2022-2023-T2
c-0ba709531cce,3.0,5.72,[C - ],v59-empty-program-students,s-03fa735bbdad,2022-2023-T1
c-13172c14dc41,3.0,5.78,[C - ],v59-empty-program-students,s-03fa735bbdad,2022-2023-T1
c-b6e621fd325d,2.0,6.56,[C+ - ],v59-empty-program-students,s-03fa735bbdad,2022-2023-T1
c-f6aed3765b43,3.0,4.59,Không đạt,v59-empty-program-students,s-03fa735bbdad,2022-2023-T1
c-025d0816cf85,3.0,5.6,[C - ],v59-empty-program-students,s-03fa735bbdad,2022-2023-T2
c-2cc74db026ab,3.0,6.75,[C+ - ],v59-empty-program-students,s-03fa735bbdad,2022-2023-T2
c-5e6168148798,2.0,6.04,[C - ],v59-empty-program-students,s-03fa735bbdad,2022-2023-T2
c-63ed356ed2f4,2.0,6.17,[C - ],v59-empty-program-students,s-03fa735bbdad,2022-2023-T2
c-5ecc525d12c9,2.0,7.32,[B - ],v59-empty-program-students,s-04b93ad2aa93,2022-2023-T1
c-8de9d81f288c,3.0,7.3,[B - ],v59-empty-program-students,s-04b93ad2aa93,2022-2023-T1
c-93096073cf96,3.0,6.74,[C+ - ],v59-empty-program-students,s-04b93ad2aa93,2022-2023-T1
c-d4b89d38dc67,3.0,7.91,[B - ],v59-empty-program-students,s-04b93ad2aa93,2022-2023-T1
c-130617a27c2c,3.0,7.16,[B - ],v59-empty-program-students,s-04b93ad2aa93,2022-2023-T2
c-4cf402e902a4,3.0,8.2,[B+ - ],v59-empty-program-students,s-04b93ad2aa93,2022-2023-T2
c-b28b5fbf4a3b,2.0,6.19,[C - ],v59-empty-program-students,s-04b93ad2aa93,2022-2023-T2
c-f679212cfe1f,3.0,5.61,[C - ],v59-empty-program-students,s-04b93ad2aa93,2022-2023-T2
c-9e728c3229e3,3.0,8.76,[A - ],v59-empty-program-students,s-04eed4d8a224,2022-2023-T1
c-a42deb6cae34,2.0,7.15,[B - ],v59-empty-program-students,s-04eed4d8a224,2022-2023-T1
c-e3f9bce22230,3.0,8.61,[A - ],v59-empty-program-students,s-04eed4d8a224,2022-2023-T1
c-f7255aa773e9,3.0,7.41,[B - ],v59-empty-program-students,s-04eed4d8a224,2022-2023-T1
c-0fb75a9e00ee,3.0,8.24,[B+ - ],v59-empty-program-students,s-04eed4d8a224,2022-2023-T2
c-be7918ae345a,3.0,7.83,[B - ],v59-empty-program-students,s-04eed4d8a224,2022-2023-T2
c-beaa4ed332b1,2.0,7.79,[B - ],v59-empty-program-students,s-04eed4d8a224,2022-2023-T2
c-d6546af1b387,3.0,8.48,[B+ - ],v59-empty-program-students,s-04eed4d8a224,2022-2023-T2
c-701997428900,2.0,4.34,Không đạt,v59-empty-program-students,s-05069e7b7252,2022-2023-T1
c-85d96028dd41,3.0,7.16,[B - ],v59-empty-program-students,s-05069e7b7252,2022-2023-T1
c-cedd16db568d,3.0,6.27,[C - ],v59-empty-program-students,s-05069e7b7252,2022-2023-T1
c-e7c2e2f0c5f6,3.0,4.44,Không đạt,v59-empty-program-students,s-05069e7b7252,2022-2023-T1
c-1492d94d2c93,2.0,7.23,[B - ],v59-empty-program-students,s-05069e7b7252,2022-2023-T2
c-3cad64923de3,3.0,6.56,[C+ - ],v59-empty-program-students,s-05069e7b7252,2022-2023-T2
c-6cf0ec787e35,3.0,6.8,[C+ - ],v59-empty-program-students,s-05069e7b7252,2022-2023-T2
c-ab706a832ed7,2.0,6.35,[C - ],v59-empty-program-students,s-05069e7b7252,2022-2023-T2
c-1cadd592e91d,2.0,5.87,[C - ],v59-empty-program-students,s-0520a6eb5e4b,2022-2023-T1
c-3240f370ca76,3.0,6.5,[C+ - ],v59-empty-program-students,s-0520a6eb5e4b,2022-2023-T1
c-412c8787cd16,3.0,5.89,[C - ],v59-empty-program-students,s-0520a6eb5e4b,2022-2023-T1
c-a646faabc9fb,3.0,4.79,Không đạt,v59-empty-program-students,s-0520a6eb5e4b,2022-2023-T1
c-aac79e5ed05e,3.0,5.06,[D+ - ],v59-empty-program-students,s-0520a6eb5e4b,2022-2023-T2
c-d87ac9779d5e,2.0,6.4,[C - ],v59-empty-program-students,s-0520a6eb5e4b,2022-2023-T2
c-e22d1da1837d,3.0,5.33,[D+ - ],v59-empty-program-students,s-0520a6eb5e4b,2022-2023-T2
c-facb06e82daa,2.0,4.98,Không đạt,v59-empty-program-students,s-0520a6eb5e4b,2022-2023-T2
c-0c6401ce7b9f,2.0,9.13,[A - ],v59-empty-program-students,s-055724dde246,2022-2023-T1
c-7a0e78340672,3.0,8.37,[B+ - ],v59-empty-program-students,s-055724dde246,2022-2023-T1
c-a44ffada1e6a,3.0,6.99,[C+ - ],v59-empty-program-students,s-055724dde246,2022-2023-T1
c-c256a908763e,3.0,4.7,Không đạt,v59-empty-program-students,s-055724dde246,2022-2023-T1
c-159aacedda92,3.0,7.81,[B - ],v59-empty-program-students,s-055724dde246,2022-2023-T2
c-2536c6da8767,3.0,8.85,[A - ],v59-empty-program-students,s-055724dde246,2022-2023-T2
c-2aecbc77fbe9,3.0,8.41,[B+ - ],v59-empty-program-students,s-055724dde246,2022-2023-T2
c-9c932482cc3a,2.0,7.1,[B - ],v59-empty-program-students,s-055724dde246,2022-2023-T2
c-05c13a39d849,2.0,6.03,[C - ],v59-empty-program-students,s-0611a37ee730,2022-2023-T1
c-105dfdbec7fd,3.0,6.17,[C - ],v59-empty-program-students,s-0611a37ee730,2022-2023-T1
c-41c48d24f431,2.0,9.4,[A - ],v59-empty-program-students,s-0611a37ee730,2022-2023-T1
c-d4d6d3cb8d73,2.0,8.08,[B+ - ],v59-empty-program-students,s-0611a37ee730,2022-2023-T1
c-677cd26bf66c,3.0,6.71,[C+ - ],v59-empty-program-students,s-0611a37ee730,2022-2023-T2
c-d069bfb48a46,3.0,8.78,[A - ],v59-empty-program-students,s-0611a37ee730,2022-2023-T2
c-deed9bd8caf2,2.0,8.34,[B+ - ],v59-empty-program-students,s-0611a37ee730,2022-2023-T2
c-e3bfbe93f29c,3.0,8.57,[A - ],v59-empty-program-students,s-0611a37ee730,2022-2023-T2
c-2c7da7c76012,3.0,4.14,Không đạt,v59-empty-program-students,s-06c30f3d81a1,2022-2023-T1
c-50fb53508398,3.0,5.37,[D+ - ],v59-empty-program-students,s-06c30f3d81a1,2022-2023-T1
c-64ac6bd06f61,3.0,5.9,[C - ],v59-empty-program-students,s-06c30f3d81a1,2022-2023-T1
c-ce1f70aea852,2.0,4.93,Không đạt,v59-empty-program-students,s-06c30f3d81a1,2022-2023-T1
c-77e37e974928,2.0,5.29,[D+ - ],v59-empty-program-students,s-06c30f3d81a1,2022-2023-T2
c-90a57aa849c1,3.0,6.22,[C - ],v59-empty-program-students,s-06c30f3d81a1,2022-2023-T2
c-b827ff368574,3.0,6.02,[C - ],v59-empty-program-students,s-06c30f3d81a1,2022-2023-T2
c-eec98e49c90a,3.0,6.71,[C+ - ],v59-empty-program-students,s-06c30f3d81a1,2022-2023-T2
c-1fdcb0f5eed0,3.0,7.03,[B - ],v59-empty-program-students,s-0829e3d5a77a,2022-2023-T1
c-957293e985c5,3.0,6.15,[C - ],v59-empty-program-students,s-0829e3d5a77a,2022-2023-T1
c-a46f4e6380df,3.0,8.04,[B+ - ],v59-empty-program-students,s-0829e3d5a77a,2022-2023-T1
c-e8aa4156c809,3.0,6.69,[C+ - ],v59-empty-program-students,s-0829e3d5a77a,2022-2023-T1
c-41ed729d5846,3.0,5.85,[C - ],v59-empty-program-students,s-0829e3d5a77a,2022-2023-T2
c-66e6058c8a9c,2.0,9.0,[A - ],v59-empty-program-students,s-0829e3d5a77a,2022-2023-T2
c-808c8c2de1c6,3.0,4.52,Không đạt,v59-empty-program-students,s-0829e3d5a77a,2022-2023-T2
c-8ce7d679d19f,3.0,5.96,[C - ],v59-empty-program-students,s-0829e3d5a77a,2022-2023-T2
c-06bd788ba323,2.0,9.3,[A - ],v59-empty-program-students,s-083d167caf9d,2022-2023-T1
c-3bd8832ce7fb,2.0,8.21,[B+ - ],v59-empty-program-students,s-083d167caf9d,2022-2023-T1
c-843bcc6a696a,3.0,7.47,[B - ],v59-empty-program-students,s-083d167caf9d,2022-2023-T1
c-ad375f2c2491,3.0,8.46,[B+ - ],v59-empty-program-students,s-083d167caf9d,2022-2023-T1
c-3e466c25a287,2.0,6.75,[C+ - ],v59-empty-program-students,s-083d167caf9d,2022-2023-T2
c-3f3d273e3139,3.0,6.52,[C+ - ],v59-empty-program-students,s-083d167caf9d,2022-2023-T2
c-53b572c79c1e,3.0,8.73,[A - ],v59-empty-program-students,s-083d167caf9d,2022-2023-T2
c-693635d2c84c,3.0,7.59,[B - ],v59-empty-program-students,s-083d167caf9d,2022-2023-T2
c-28bc0b63cb53,3.0,6.37,[C - ],v59-empty-program-students,s-089c5e238092,2022-2023-T1
c-7d03972d41a3,3.0,6.74,[C+ - ],v59-empty-program-students,s-089c5e238092,2022-2023-T1
c-af7461bfba68,3.0,6.89,[C+ - ],v59-empty-program-students,s-089c5e238092,2022-2023-T1
c-c8ab7ceb8895,3.0,6.18,[C - ],v59-empty-program-students,s-089c5e238092,2022-2023-T1
c-04e46569ae69,2.0,7.42,[B - ],v59-empty-program-students,s-089c5e238092,2022-2023-T2
c-8da8da36a39c,3.0,6.63,[C+ - ],v59-empty-program-students,s-089c5e238092,2022-2023-T2
c-af223000a894,3.0,6.0,[C - ],v59-empty-program-students,s-089c5e238092,2022-2023-T2
c-eee3039acbfd,2.0,6.67,[C+ - ],v59-empty-program-students,s-089c5e238092,2022-2023-T2
c-360ed36184a8,3.0,6.46,[C - ],v59-empty-program-students,s-08a36ecf6c76,2022-2023-T1
c-56d5e752203f,3.0,7.24,[B - ],v59-empty-program-students,s-08a36ecf6c76,2022-2023-T1
c-60ae2e39cbdf,2.0,5.73,[C - ],v59-empty-program-students,s-08a36ecf6c76,2022-2023-T1
c-cbb4821f5a63,2.0,6.33,[C - ],v59-empty-program-students,s-08a36ecf6c76,2022-2023-T1
c-44314e4f8753,3.0,5.72,[C - ],v59-empty-program-students,s-08a36ecf6c76,2022-2023-T2
c-53a8a41a1323,3.0,5.62,[C - ],v59-empty-program-students,s-08a36ecf6c76,2022-2023-T2
c-f619cf7f90fa,3.0,7.02,[B - ],v59-empty-program-students,s-08a36ecf6c76,2022-2023-T2
c-fed583d26f20,3.0,6.23,[C - ],v59-empty-program-students,s-08a36ecf6c76,2022-2023-T2
c-20b31a857901,3.0,5.8,[C - ],v59-empty-program-students,s-09121a7d1e6b,2022-2023-T1
c-6d7f5ee6d7be,3.0,6.41,[C - ],v59-empty-program-students,s-09121a7d1e6b,2022-2023-T1
c-817f0fb26462,3.0,4.59,Không đạt,v59-empty-program-students,s-09121a7d1e6b,2022-2023-T1
c-bcfa9af471eb,3.0,5.48,[D+ - ],v59-empty-program-students,s-09121a7d1e6b,2022-2023-T1
c-1504c796d0e5,3.0,5.71,[C - ],v59-empty-program-students,s-09121a7d1e6b,2022-2023-T2
c-68e67026cf92,3.0,5.74,[C - ],v59-empty-program-students,s-09121a7d1e6b,2022-2023-T2
c-6b786c1da10b,3.0,6.8,[C+ - ],v59-empty-program-students,s-09121a7d1e6b,2022-2023-T2
c-7de9cf38aac2,3.0,4.93,Không đạt,v59-empty-program-students,s-09121a7d1e6b,2022-2023-T2
c-0ddc4a15386b,2.0,5.97,[C - ],v59-empty-program-students,s-091d6b414e55,2022-2023-T1
c-141b628c1375,2.0,7.02,[B - ],v59-empty-program-students,s-091d6b414e55,2022-2023-T1
c-2b6519f3388a,2.0,6.9,[C+ - ],v59-empty-program-students,s-091d6b414e55,2022-2023-T1
c-9a595677cf5f,3.0,6.23,[C - ],v59-empty-program-students,s-091d6b414e55,2022-2023-T1
c-3ae1cb3f3083,3.0,7.1,[B - ],v59-empty-program-students,s-091d6b414e55,2022-2023-T2
c-574e8a37c0c2,3.0,7.23,[B - ],v59-empty-program-students,s-091d6b414e55,2022-2023-T2
c-79ad7d24b51d,3.0,6.61,[C+ - ],v59-empty-program-students,s-091d6b414e55,2022-2023-T2
c-9a84e036ce49,2.0,7.77,[B - ],v59-empty-program-students,s-091d6b414e55,2022-2023-T2
c-0646a34cb93e,3.0,5.47,[D+ - ],v59-empty-program-students,s-09373e6fbb2c,2022-2023-T1
c-3b8896fb9530,3.0,5.65,[C - ],v59-empty-program-students,s-09373e6fbb2c,2022-2023-T1
c-9375e1de2eb7,3.0,5.67,[C - ],v59-empty-program-students,s-09373e6fbb2c,2022-2023-T1
c-983a95e82193,3.0,5.93,[C - ],v59-empty-program-students,s-09373e6fbb2c,2022-2023-T1
c-179b4fee8f46,3.0,4.83,Không đạt,v59-empty-program-students,s-09373e6fbb2c,2022-2023-T2
c-6f13a3013456,3.0,4.48,Không đạt,v59-empty-program-students,s-09373e6fbb2c,2022-2023-T2
c-ab8672f4e572,3.0,5.27,[D+ - ],v59-empty-program-students,s-09373e6fbb2c,2022-2023-T2
c-fdb436557e35,3.0,6.32,[C - ],v59-empty-program-students,s-09373e6fbb2c,2022-2023-T2
c-46911f68e134,3.0,8.63,[A - ],v59-empty-program-students,s-09b734dfdf59,2022-2023-T1
c-5ae3f1c6983a,2.0,5.77,[C - ],v59-empty-program-students,s-09b734dfdf59,2022-2023-T1
c-9b2a0757c4aa,3.0,6.82,[C+ - ],v59-empty-program-students,s-09b734dfdf59,2022-2023-T1
c-dd066996ccf8,2.0,5.05,[D+ - ],v59-empty-program-students,s-09b734dfdf59,2022-2023-T1
c-06156a1b2acb,3.0,6.93,[C+ - ],v59-empty-program-students,s-09b734dfdf59,2022-2023-T2
c-8bd2e84e9d70,3.0,7.83,[B - ],v59-empty-program-students,s-09b734dfdf59,2022-2023-T2
c-aa67ec9847cd,2.0,6.17,[C - ],v59-empty-program-students,s-09b734dfdf59,2022-2023-T2
c-c5342f906b40,2.0,7.54,[B - ],v59-empty-program-students,s-09b734dfdf59,2022-2023-T2
c-55b0c5fa163e,3.0,8.88,[A - ],v59-empty-program-students,s-0a16f66e4971,2022-2023-T1
c-6c0f2d110eef,3.0,9.0,[A - ],v59-empty-program-students,s-0a16f66e4971,2022-2023-T1
c-8d0d1ee4fdb0,3.0,9.25,[A - ],v59-empty-program-students,s-0a16f66e4971,2022-2023-T1
c-c9980fa542bd,3.0,8.6,[A - ],v59-empty-program-students,s-0a16f66e4971,2022-2023-T1
c-413dfbc54796,3.0,8.27,[B+ - ],v59-empty-program-students,s-0a16f66e4971,2022-2023-T2
c-4fb96ae62185,3.0,8.44,[B+ - ],v59-empty-program-students,s-0a16f66e4971,2022-2023-T2
c-54777c22cd17,3.0,7.27,[B - ],v59-empty-program-students,s-0a16f66e4971,2022-2023-T2
c-9b697149c23c,3.0,7.61,[B - ],v59-empty-program-students,s-0a16f66e4971,2022-2023-T2
c-2783db23b8b7,3.0,6.34,[C - ],v59-empty-program-students,s-0a2474909ee6,2022-2023-T1
c-66cdc2d93f61,3.0,5.19,[D+ - ],v59-empty-program-students,s-0a2474909ee6,2022-2023-T1
c-6ae859da1706,2.0,4.24,Không đạt,v59-empty-program-students,s-0a2474909ee6,2022-2023-T1
c-d920f615ebdf,3.0,5.58,[C - ],v59-empty-program-students,s-0a2474909ee6,2022-2023-T1
c-0603494c4227,3.0,5.54,[C - ],v59-empty-program-students,s-0a2474909ee6,2022-2023-T2
c-3d4aca254f6c,3.0,6.25,[C - ],v59-empty-program-students,s-0a2474909ee6,2022-2023-T2
c-3f1d81ec1967,3.0,4.67,Không đạt,v59-empty-program-students,s-0a2474909ee6,2022-2023-T2
c-570c77cf071a,3.0,3.72,Không đạt,v59-empty-program-students,s-0a2474909ee6,2022-2023-T2
c-62bba9f5da19,3.0,8.63,[A - ],v59-empty-program-students,s-0a2e8c18532a,2022-2023-T1
c-6c0b2a386b16,3.0,8.0,[B+ - ],v59-empty-program-students,s-0a2e8c18532a,2022-2023-T1
c-a9af172bf68c,3.0,7.28,[B - ],v59-empty-program-students,s-0a2e8c18532a,2022-2023-T1
c-b25b03ede961,3.0,9.39,[A - ],v59-empty-program-students,s-0a2e8c18532a,2022-2023-T1
c-28c29bee998f,2.0,8.37,[B+ - ],v59-empty-program-students,s-0a2e8c18532a,2022-2023-T2
c-3f3f776aa9df,3.0,7.68,[B - ],v59-empty-program-students,s-0a2e8c18532a,2022-2023-T2
c-59d3d4e9ece7,3.0,8.43,[B+ - ],v59-empty-program-students,s-0a2e8c18532a,2022-2023-T2
c-b439d51d14d8,3.0,9.4,[A - ],v59-empty-program-students,s-0a2e8c18532a,2022-2023-T2
c-3448311d39ae,3.0,8.22,[B+ - ],v59-empty-program-students,s-0a50bede9d8d,2022-2023-T1
c-b453be3a3413,3.0,6.88,[C+ - ],v59-empty-program-students,s-0a50bede9d8d,2022-2023-T1
c-ced848ebfca3,3.0,7.27,[B - ],v59-empty-program-students,s-0a50bede9d8d,2022-2023-T1
c-d78330df2c65,3.0,8.09,[B+ - ],v59-empty-program-students,s-0a50bede9d8d,2022-2023-T1
c-0f9b5f00b334,2.0,5.99,[C - ],v59-empty-program-students,s-0a50bede9d8d,2022-2023-T2
c-448f5c3e06df,3.0,6.64,[C+ - ],v59-empty-program-students,s-0a50bede9d8d,2022-2023-T2
c-88b6372ef3c7,3.0,6.46,[C - ],v59-empty-program-students,s-0a50bede9d8d,2022-2023-T2
c-e9394f652269,2.0,7.38,[B - ],v59-empty-program-students,s-0a50bede9d8d,2022-2023-T2
c-35b9e64b2046,2.0,6.96,[C+ - ],v59-empty-program-students,s-0ab3418e3509,2022-2023-T1
c-6e871346123a,2.0,9.4,[A - ],v59-empty-program-students,s-0ab3418e3509,2022-2023-T1
c-ae33d35cff73,3.0,8.5,[A - ],v59-empty-program-students,s-0ab3418e3509,2022-2023-T1
c-dfc63f0ddfd3,2.0,6.36,[C - ],v59-empty-program-students,s-0ab3418e3509,2022-2023-T1
c-2db7f512e925,2.0,7.92,[B - ],v59-empty-program-students,s-0ab3418e3509,2022-2023-T2
c-3d7f560a6e16,3.0,7.99,[B - ],v59-empty-program-students,s-0ab3418e3509,2022-2023-T2
c-7944d80596d5,3.0,8.46,[B+ - ],v59-empty-program-students,s-0ab3418e3509,2022-2023-T2
c-d6514edb9081,3.0,7.62,[B - ],v59-empty-program-students,s-0ab3418e3509,2022-2023-T2
c-152db8b62ed6,3.0,6.83,[C+ - ],v59-empty-program-students,s-0b2052469840,2022-2023-T1
c-984e9b35edcc,3.0,5.79,[C - ],v59-empty-program-students,s-0b2052469840,2022-2023-T1
c-9f63fe6d154d,3.0,7.61,[B - ],v59-empty-program-students,s-0b2052469840,2022-2023-T1
c-c6b831068564,3.0,6.99,[C+ - ],v59-empty-program-students,s-0b2052469840,2022-2023-T1
c-23604a821240,3.0,6.61,[C+ - ],v59-empty-program-students,s-0b2052469840,2022-2023-T2
c-35694223a16f,3.0,6.87,[C+ - ],v59-empty-program-students,s-0b2052469840,2022-2023-T2
c-99b33d74d0df,3.0,5.74,[C - ],v59-empty-program-students,s-0b2052469840,2022-2023-T2
c-b823e7deb8f6,3.0,6.81,[C+ - ],v59-empty-program-students,s-0b2052469840,2022-2023-T2
