student_id,week,score
SYN0014,11,7.56
SYN0014,12,8.12
SYN0015,1,8.2
SYN0015,2,7.9
SYN0015,3,7.98
SYN0015,4,8.11
SYN0015,5,7.58
SYN0015,6,7.75
SYN0015,7,8.06
SYN0015,8,7.46
SYN0015,9,7.5
SYN0015,10,7.98
SYN0015,11,7.93
SYN0015,12,7.65
SYN0016,1,6.1
SYN0016,2,5.68
SYN0016,3,5.59
SYN0016,4,6.01
SYN0016,5,5.76
SYN0016,6,5.73
SYN0016,7,5.77
SYN0016,8,5.78
SYN0016,9,5.77
SYN0016,10,5.9
SYN0016,11,5.46
SYN0016,12,5.9
SYN0017,1,7.08
SYN0017,2,6.7
SYN0017,3,7.08
SYN0017,4,7.05
SYN0017,5,6.93
SYN0017,6,6.87
SYN0017,7,7.23
SYN0017,8,6.74
SYN0017,9,6.51
SYN0017,10,6.7
SYN0017,11,6.45
SYN0017,12,7.12
SYN0018,1,7.74
SYN0018,2,8.24
SYN0018,3,7.86
SYN0018,4,7.56
SYN0018,5,7.99
SYN0018,6,7.53
SYN0018,7,8.15
SYN0018,8,8.15
SYN0018,9,7.88
SYN0018,10,7.56
SYN0018,11,7.96
SYN0018,12,7.35
SYN0019,1,6.11
SYN0019,2,5.92
SYN0019,3,6.0
SYN0019,4,5.86
SYN0019,5,5.48
SYN0019,6,5.5
SYN0019,7,5.74
SYN0019,8,5.86
SYN0019,9,5.7
SYN0019,10,5.43
SYN0019,11,5.79
SYN0019,12,5.45
SYN0020,1,7.36
SYN0020,2,7.48
SYN0020,3,7.18
SYN0020,4,7.37
SYN0020,5,7.7
SYN0020,6,7.43
SYN0020,7,7.07
SYN0020,8,7.71
SYN0020,9,7.2
SYN0020,10,7.11
SYN0020,11,7.55
SYN0020,12,7.72
SYN0021,1,5.53
SYN0021,2,5.94
SYN0021,3,5.63
SYN0021,4,5.98
SYN0021,5,5.83
SYN0021,6,5.84
SYN0021,7,5.61
SYN0021,8,6.03
SYN0021,9,5.43
SYN0021,10,5.66
SYN0021,11,5.49
SYN0021,12,5.48
SYN0022,1,5.2
SYN0022,2,5.43
SYN0022,3,5.6
SYN0022,4,5.19
SYN0022,5,5.53
SYN0022,6,5.43
SYN0022,7,5.69
SYN0022,8,5.58
SYN0022,9,5.69
SYN0022,10,5.16
SYN0022,11,5.56
SYN0022,12,5.08
SYN0023,1,6.5
SYN0023,2,5.96
SYN0023,3,6.35
SYN0023,4,5.88
SYN0023,5,6.15
SYN0023,6,5.98
SYN0023,7,6.5
SYN0023,8,5.96
SYN0023,9,5.98
SYN0023,10,5.91
SYN0023,11,5.73
SYN0023,12,6.12
SYN0024,1,6.28
SYN0024,2,6.62
SYN0024,3,6.15
SYN0024,4,6.06
SYN0024,5,6.22
SYN0024,6,6.4
SYN0024,7,6.16
SYN0024,8,6.01
SYN0024,9,6.19
SYN0024,10,6.66
SYN0024,11,6.6
SYN0024,12,6.23
SYN0025,1,6.96
SYN0025,2,6.57
SYN0025,3,6.85
SYN0025,4,6.42
SYN0025,5,6.57
SYN0025,6,6.54
SYN0025,7,6.93
SYN0025,8,6.77
SYN0025,9,6.67
SYN0025,10,6.59
SYN0025,11,6.67
SYN0025,12,6.59
SYN0026,1,6.2
SYN0026,2,6.23
SYN0026,3,6.67
SYN0026,4,5.96
SYN0026,5,6.57
SYN0026,6,6.12
SYN0026,7,6.15
SYN0026,8,6.3
SYN0026,9,6.53
SYN0026,10,6.31
SYN0026,11,6.48
SYN0026,12,6.5
SYN0027,1,8.35
SYN0027,2,8.28
SYN0027,3,8.06
SYN0027,4,8.38
SYN0027,5,7.8
SYN0027,6,8.57
SYN0027,7,8.46
SYN0027,8,7.8
SYN0027,9,8.31
SYN0027,10,7.83
SYN0027,11,8.5
SYN0027,12,8.06
SYN0028,1,7.37
SYN0028,2,8.0
SYN0028,3,7.58
SYN0028,4,7.51
SYN0028,5,7.74
SYN0028,6,7.79
SYN0028,7,7.44
SYN0028,8,7.55
SYN0028,9,7.73
SYN0028,10,7.87
SYN0028,11,8.0
SYN0028,12,7.56
SYN0029,1,7.89
SYN0029,2,7.98
SYN0029,3,7.94
SYN0029,4,7.75
SYN0029,5,8.46
SYN0029,6,8.22
SYN0029,7,8.38
SYN0029,8,7.93
SYN0029,9,8.22
SYN0029,10,8.09
SYN0029,11,8.11
SYN0029,12,8.24
SYN0030,1,7.78
SYN0030,2,7.47
SYN0030,3,7.65
SYN0030,4,7.79
SYN0030,5,7.81
SYN0030,6,7.33
SYN0030,7,7.73
SYN0030,8,7.63
SYN0030,9,7.1
SYN0030,10,7.75
SYN0030,11,7.83
SYN0030,12,7.84
SYN0031,1,6.49
SYN0031,2,6.66
SYN0031,3,6.48
SYN0031,4,6.93
SYN0031,5,6.63
SYN0031,6,6.42
SYN0031,7,6.59
SYN0031,8,6.74
SYN0031,9,6.59
SYN0031,10,6.57
SYN0031,11,6.83
SYN0031,12,6.6
SYN0032,1,6.57
SYN0032,2,6.78
SYN0032,3,6.57
SYN0032,4,6.52
SYN0032,5,6.16
SYN0032,6,6.84
SYN0032,7,6.13
SYN0032,8,5.88
SYN0032,9,6.25
SYN0032,10,5.73
SYN0032,11,6.07
SYN0032,12,6.26
SYN0033,1,5.48
SYN0033,2,5.42
SYN0033,3,5.38
SYN0033,4,5.91
SYN0033,5,5.99
SYN0033,6,5.74
SYN0033,7,5.69
SYN0033,8,6.22
SYN0033,9,5.65
SYN0033,10,6.12
SYN0033,11,6.14
SYN0033,12,5.88
SYN0034,1,8.07
SYN0034,2,8.0
SYN0034,3,8.2
SYN0034,4,8.09
SYN0034,5,8.27
SYN0034,6,7.88
SYN0034,7,7.92
SYN0034,8,8.4
SYN0034,9,8.02
SYN0034,10,7.94
SYN0034,11,8.37
SYN0034,12,8.03
SYN0035,1,7.0
SYN0035,2,6.79
SYN0035,3,6.32
SYN0035,4,6.33
SYN0035,5,6.47
SYN0035,6,6.55
SYN0035,7,6.82
SYN0035,8,6.8
SYN0035,9,6.72
SYN0035,10,6.69
SYN0035,11,6.49
SYN0035,12,6.13
SYN0036,1,6.32
SYN0036,2,6.11
SYN0036,3,6.33
SYN0036,4,6.3
SYN0036,5,6.39
SYN0036,6,6.12
SYN0036,7,6.39
SYN0036,8,6.02
SYN0036,9,6.53
SYN0036,10,6.54
SYN0036,11,6.17
SYN0036,12,6.52
SYN0037,1,7.46
SYN0037,2,7.22
SYN0037,3,7.84
SYN0037,4,7.31
SYN0037,5,7.83
SYN0037,6,7.45
SYN0037,7,7.59
SYN0037,8,7.65
SYN0037,9,7.46
SYN0037,10,7.97
SYN0037,11,7.86
SYN0037,12,7.5
SYN0038,1,6.43
SYN0038,2,6.27
SYN0038,3,6.62
SYN0038,4,6.59
SYN0038,5,6.6
SYN0038,6,6.75
SYN0038,7,6.31
SYN0038,8,6.78
SYN0038,9,6.9
SYN0038,10,6.82
SYN0038,11,6.41
SYN0038,12,6.88
SYN0039,1,8.15
SYN0039,2,8.03
SYN0039,3,8.22
SYN0039,4,8.62
SYN0039,5,7.98
SYN0039,6,8.35
SYN0039,7,8.28
SYN0039,8,7.93
SYN0039,9,8.06
SYN0039,10,8.07
SYN0039,11,7.93
SYN0039,12,7.94
SYN0040,1,7.98
SYN0040,2,8.02
SYN0040,3,7.98
SYN0040,4,7.65
SYN0040,5,7.69
SYN0040,6,7.74
SYN0040,7,8.31
SYN0040,8,8.23
SYN0040,9,8.44
SYN0040,10,8.24
SYN0040,11,7.88
SYN0040,12,8.17
